0,1,2,3,4
4.09,1.26,0.92,1.09,7.36
3.95,1.25,0.92,1.06,7.18
4.01,1.21,0.87,1.1,7.19
4.03,1.2,0.9,1.12,7.25
4.05,1.2,0.92,1.03,7.2
3.96,1.2,0.96,0.99,7.11
3.9699999999999998,1.19,0.81,0.97,6.94
3.92,1.18,0.81,0.97,6.88
4.04,1.2,0.8300000000000001,0.9400000000000001,7.01
4.04,1.2,0.86,0.91,7.01
4.4,1.16,0.9,0.88,7.34
4.22,1.1400000000000001,0.92,0.85,7.13
3.61,1.09,0.8300000000000001,0.8200000000000001,6.35
3.34,1.07,0.8200000000000001,0.8,6.03
3.05,1.07,0.85,0.77,5.74
2.99,1.06,0.85,0.74,5.64
2.86,1.06,0.88,0.71,5.51
2.8200000000000003,1.03,0.93,0.68,5.46
2.99,1.02,0.85,0.65,5.51
3.09,1.02,0.76,0.67,5.54
3.22,1.02,0.88,0.68,5.8
4.41,1.05,0.86,0.6900000000000001,7.01
3.89,1.06,0.86,0.7000000000000001,6.51
3.71,1.02,0.85,0.75,6.33
4.47,1.07,0.99,0.74,7.27
5.04,1.07,1.5,0.75,8.36
4.12,1.1400000000000001,1.9100000000000001,0.75,7.92
4.74,1.2,1.38,0.79,8.11
3.86,1.23,1.48,0.9,7.47
3.7800000000000002,1.27,1.35,0.97,7.37
3.8200000000000003,1.3,1.28,1.05,7.45
3.67,1.31,1.24,1.02,7.24
3.99,1.26,1.21,0.9500000000000001,7.41
3.9699999999999998,1.21,1.34,0.89,7.41
3.76,1.2,1.47,0.87,7.3
4.0,1.16,1.51,0.8200000000000001,7.49
3.95,1.1400000000000001,1.51,0.97,7.57
3.87,1.1400000000000001,1.48,0.98,7.47
3.43,1.13,1.48,0.87,6.91
3.37,1.08,1.48,0.76,6.69
3.44,1.08,1.46,0.65,6.63
3.37,1.07,1.44,0.8200000000000001,6.7
3.31,1.06,1.51,0.99,6.87
3.56,1.07,1.32,1.18,7.13
3.29,1.03,1.1,1.21,6.63
3.51,1.02,0.9500000000000001,1.2,6.68
3.58,1.02,0.9,1.15,6.65
3.85,1.02,0.89,1.1,6.86
3.84,1.02,0.9500000000000001,1.13,6.94
3.81,1.02,0.92,1.1400000000000001,6.89
3.83,1.02,0.89,1.1400000000000001,6.88
3.7800000000000002,1.02,0.88,1.12,6.8
3.77,1.02,0.9,1.01,6.7
3.77,1.02,0.9400000000000001,0.85,6.58
3.62,1.02,0.9400000000000001,0.84,6.42
3.58,1.02,0.9,0.8300000000000001,6.33
3.61,1.01,0.86,0.8200000000000001,6.3
3.49,1.02,0.85,0.81,6.17
3.51,0.99,0.84,0.81,6.15
3.54,0.97,0.8300000000000001,0.8,6.14
3.54,0.97,0.8200000000000001,0.79,6.12
3.52,0.97,0.8,0.78,6.07
3.49,0.97,0.8,0.77,6.03
3.61,0.97,0.8,0.76,6.14
3.31,0.97,0.8,0.75,5.83
3.17,0.96,0.8,0.75,5.68
3.27,0.96,0.79,0.74,5.76
3.49,0.9400000000000001,0.86,0.73,6.02
3.7199999999999998,0.97,1.01,0.72,6.42
3.94,1.02,1.34,0.8200000000000001,7.12
4.13,1.18,2.29,1.0,8.6
6.61,1.13,2.83,1.29,11.86
9.12,1.28,4.34,2.84,17.58
13.02,1.18,2.34,2.21,18.75
12.1,1.1400000000000001,2.13,1.8399999999999999,17.21
12.34,1.1400000000000001,2.38,1.76,17.62
11.95,1.1400000000000001,2.26,1.72,17.07
10.52,1.15,2.16,1.6400000000000001,15.47
9.46,1.13,1.77,1.5,13.86
7.63,1.08,1.6400000000000001,1.34,11.69
6.4,1.1,1.7000000000000002,1.25,10.45
5.77,1.08,1.6400000000000001,1.26,9.75
6.35,1.09,1.94,1.4,10.78
6.13,1.11,1.79,1.4,10.43
5.7,1.1,1.65,1.3599999999999999,9.81
5.42,1.09,1.63,1.34,9.48
5.16,1.09,1.7000000000000002,1.3599999999999999,9.31
5.11,1.09,1.77,1.45,9.42
5.9,1.15,2.21,1.5,10.76
8.11,1.26,2.83,1.9,14.1
12.23,1.56,3.65,2.34,19.78
16.52,4.87,6.73,6.02,34.14
29.76,10.82,10.09,12.03,62.7
61.23,9.47,16.86,19.58,107.14
88.36,7.34,25.47,21.12,142.29
79.21,5.95,27.39,18.21,130.76
90.08,5.86,33.93,19.32,149.19
86.31,5.58,33.01,20.25,145.15
82.22,6.1,35.32,22.02,145.66
150.92,9.02,59.36,32.42,251.72
108.55,6.02,38.83,26.59,179.99
57.89,4.06,22.5,18.4,102.85
